geoname,GEOID10,Community,pct_uninsured,MINORPCT,LOWINCPCT,LESSHSPCT,LINGISOPCT,OZONE,PM25,UNDER5PCT,OVER64PCT,PTRAF,LDPNT_B6,severe_housing_burden,MaltrtAllegRate,FosterCareEntry,ProxOffAlco,ProxOnAlco,ZIP,Longitude,Latitude,PopCharScore,PopCharPctl,NeighborhoodName,n_FoodDesert,pct_FoodDesert,Health
1,6073000100,CENTRAL SAN DIEGO,0.019,0.173792156,0.109650873,0.015997024,0.004861111,39.6694281,10.30248329,0.03813124,0.310887619,1417.953407,124.2642082,12.4260355,21.4,0,27.896996,54.902607,92103,-117.1858941,32.7530053,3.576966245,24.19415527,Mission Hills,548.9999985,0.999999997,21.17
2.01,6073000201,CENTRAL SAN DIEGO,0.035,0.245597776,0.236329935,0.064116985,0.025886865,39.87446993,10.34455945,0.056070436,0.233086191,662.8587804,153.3080472,23.80952381,,0,83.509163,97.001663,92103,-117.1733775,32.7540028,3.644413036,25.44838831,Mission Hills,115.7079945,0.490288112,37.54
2.02,6073000202,CENTRAL SAN DIEGO,0.095,0.217368149,0.131578893,0.012071488,0.043506771,39.70840784,10.33264575,0.05106527,0.08864642,1811.206063,77.4485463,24.57098284,,0,48.312737,47.290874,92103,-117.1751643,32.7453846,1.920414865,2.947447636,Five Points,222.1366626,0.463750861,31.47
3,6073000300,CENTRAL SAN DIEGO,0.073,0.332350157,0.27730035,0.071508618,0.041115897,39.86292549,10.36723699,0.039199677,0.157605042,552.2720684,48.79860223,22.42483982,41.200001,0,100,92.941673,92103,-117.1622682,32.7447803,3.292525773,19.34027342,Hillcrest,41.48172015,0.169313143,65.99
4,6073000400,CENTRAL SAN DIEGO,0.024,0.319745084,0.186297455,0.044582205,0.058776246,40.00929739,10.37422493,0.027887963,0.098163561,2022.553887,36.76513372,16.92892024,122.9,29.700001,70.400658,73.698555,92103,-117.1630579,32.7533323,2.742455105,11.01216606,Hillcrest,44.41366215,0.206575173,37.64
5,6073000500,CENTRAL SAN DIEGO,0.07,0.274155462,0.19196201,0.037682563,0.022189349,40.30429935,10.4114589,0.033587002,0.13368415,1219.035281,72.35421668,13.73801917,16.9,0,78.398239,78.398239,92116,-117.1521772,32.7606645,2.7493141,11.09996237,University Heights,165.0409112,0.782184413,37.08
6,6073000600,CENTRAL SAN DIEGO,0.117,0.376519464,0.263831913,0.087124889,0.052109004,40.15324314,10.40774767,0.029649606,0.141749568,1320.807362,50.42630052,15.91111111,34.299999,0,82.01416,80.952377,92103,-117.1518924,32.7529964,2.895015796,13.04402358,Hillcrest,1.424810529,0.007828629,37.75
7,6073000700,CENTRAL SAN DIEGO,0.048,0.248858189,0.161120995,0.014535552,0.038604943,40.00258235,10.39674219,0.026062274,0.125399423,934.5590799,67.78963099,18.34394904,33.5,0,81.459778,69.259453,92103,-117.1513148,32.7447633,3.29294147,19.35281575,Hillcrest,73.59007642,0.367950382,71.86
8,6073000800,CENTRAL SAN DIEGO,0.069,0.349444643,0.216482651,0.076205506,0.049630497,40.13223333,10.42074767,0.035332547,0.134287868,27.23104077,65.18347922,22.15665236,64.599998,0,80.771027,61.168224,92104,-117.1420277,32.7447819,3.996300299,31.93277311,North Park,10.89593284,0.023182836,35.05
9,6073000900,CENTRAL SAN DIEGO,0.162,0.507876917,0.435315133,0.068375707,0.068061411,40.26319935,10.42839589,0.060136795,0.097933577,532.0536514,53.05257888,23.7537928,73,0,100,97.392815,92104,-117.141957,32.7518529,4.983060359,47.48526276,University Heights,0,0,60.68
