GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
6073000100,2016,1,"San Diego County, California",2716,1.19,262,8.84,,125370,1038200,50,86.97,0,9.65,0,2.21,0,1.18,0,3,1,0.38,1.15,1,0,0
6073000201,2016,2.01,"San Diego County, California",2223,1.07,601,51.83,966,100436,754900,25.6,75.62,0,17.23,0.31,4.27,0,2.56,0,0,0,0,0,1,0,0
6073000202,2016,2.02,"San Diego County, California",4683,3.86,1349,59.26,1333,60929,589000,26.7,74.95,0.83,16.02,0.85,4.7,0,2.65,0,6,5,0.37,0.44,1,0,0
6073000300,2016,3,"San Diego County, California",4875,16.69,2233,70.82,1327,72979,498900,27.9,73.89,3.04,13.76,0,4.59,0.04,4.68,0,6,6,0.27,0.27,1,0,0
6073000400,2016,4,"San Diego County, California",3606,4.65,1959,82.06,1238,68099,433600,22.8,65.47,2.63,13.09,0,16.14,0,2.66,0,10,8,0.41,0.51,1,0,0
6073000500,2016,5,"San Diego County, California",2873,4.63,1170,69.75,1161,56750,603000,28.5,69.96,4.25,14.9,1.01,7.21,0,2.12,0.56,3,2,0.17,0.26,1,0,0
6073000600,2016,6,"San Diego County, California",2904,9.02,1296,72.33,1226,55925,421400,27.2,64.7,6.92,18.66,0.24,5.27,0.55,3.65,0,5,2,0.15,0.39,1,0,0
6073000700,2016,7,"San Diego County, California",4576,1.09,1849,71.76,1323,72177,505500,25.8,74.19,1.42,15.38,0.72,6.21,0,2.08,0,9,9,0.49,0.49,1,0,0
6073000800,2016,8,"San Diego County, California",3927,16.32,1967,73.44,1031,51164,389200,31.1,61.24,8.2,21.9,0,5.73,0.46,1.88,0.59,2,1,0.05,0.1,1,0,0
6073000900,2016,9,"San Diego County, California",5184,23.41,2600,84.58,1028,45377,297800,30.1,56.04,9.9,25.81,0,5.77,0.77,1.72,0,14,11,0.42,0.54,1,0,0
6073001000,2016,10,"San Diego County, California",5470,3.7,2087,75.78,1219,65863,392300,25.7,61.1,3.29,20.53,0.35,6.93,0,7.81,0,8,4,0.19,0.38,1,0,0
6073001100,2016,11,"San Diego County, California",3545,7.45,1240,74.68,1164,53167,266200,26.7,57.26,8.6,29.42,0.23,2.17,0,2.31,0,5,4,0.32,0.4,1,0,0
6073001200,2016,12,"San Diego County, California",6064,8.73,2520,83.47,1028,42379,290800,29.8,45.94,5.66,39.28,0.56,5.16,0,2.64,0.76,13,9,0.36,0.52,1,0,0
6073001300,2016,13,"San Diego County, California",6329,7.98,2740,81.64,1145,46161,285600,31.2,48.71,9.07,28.54,0.36,7.82,2.01,3.49,0,12,10,0.36,0.44,1,0,0
6073001400,2016,14,"San Diego County, California",3286,6.63,1110,67.98,1256,61164,596800,30.6,57.85,4.35,25.62,0,4.35,1.28,6.21,0.33,2,1,0.09,0.18,1,0,0
6073001500,2016,15,"San Diego County, California",3836,13.14,1284,64.31,1127,56760,495300,27.9,48.83,5.74,36.47,0,5.58,0,3.39,0,7,4,0.31,0.55,1,0,0
6073001600,2016,16,"San Diego County, California",5292,23.8,1942,86.6,951,34151,265600,36.9,23.77,14.19,53.61,0,6.82,0,1.3,0.3,24,22,1.13,1.24,1,0,0
6073001700,2016,17,"San Diego County, California",4487,8.56,1715,71.42,1058,45207,348700,34,39.49,7.6,45.06,0,2.79,0,5.06,0,4,3,0.17,0.23,1,0,0
6073001800,2016,18,"San Diego County, California",5392,16.27,2212,80.81,998,41807,297000,31.4,41.88,17.34,31.79,0.32,4.82,0,3.64,0.22,15,13,0.59,0.68,1,0,0
6073001900,2016,19,"San Diego County, California",3171,3.93,663,39.67,1369,85769,560600,26.1,72.72,1.2,18.16,0.44,3.63,0,3.85,0,4,2,0.3,0.6,1,0,0
6073002001,2016,20.01,"San Diego County, California",3273,0.73,328,22.82,2907,121518,752300,27.4,85.52,2.72,6.32,0,3.67,0,1.59,0.18,0,0,0,0,1,0,0
6073002002,2016,20.02,"San Diego County, California",2597,6.44,449,41.88,1724,99236,603000,32,69.62,9.97,12.78,0,4.08,0,3.54,0,4,3,0.67,0.89,1,0,0
6073002100,2016,21,"San Diego County, California",4842,15.63,2043,75.81,1048,50465,469000,30.2,45.04,14.02,31.39,0.81,6.61,0,2.13,0,15,8,0.39,0.73,1,0,0
6073002201,2016,22.01,"San Diego County, California",3705,38.97,1097,90.64,973,29086,450000,39.8,7.37,18.62,61.05,0,10.23,0,2.73,0,8,8,0.73,0.73,1,0,0
6073002202,2016,22.02,"San Diego County, California",5388,41.76,1594,94.88,855,22713,230500,45.1,6.77,5.77,70.12,0,16.09,0,1.04,0.2,18,13,0.82,1.13,1,0,0
6073002301,2016,23.01,"San Diego County, California",3130,35.41,1074,93.49,986,28963,268800,42.7,21.31,20.13,38.59,0,18.08,0,1.88,0,10,7,0.65,0.93,1,0,0
6073002302,2016,23.02,"San Diego County, California",6620,36.44,1881,92.88,849,22951,180900,45.6,7.37,12.57,50.83,0,26.07,0,3.16,0,19,14,0.74,1.01,1,0,0
6073002401,2016,24.01,"San Diego County, California",4824,25.3,1281,79.22,1051,41284,287500,35.7,27.36,8.75,54.75,0.77,6.99,0,1.39,0,21,16,1.25,1.64,1,0,0
6073002402,2016,24.02,"San Diego County, California",5236,23.27,1325,90.94,979,30635,301500,38.3,5.65,8.73,72.25,0,12.13,0.48,0.76,0,23,15,1.13,1.74,1,0,0
6073002501,2016,25.01,"San Diego County, California",6024,22.22,994,56.63,1071,44938,298400,36.3,13,9.28,66.09,0,10.49,0,1.03,0.12,12,8,0.8,1.21,1,0,0
6073002502,2016,25.02,"San Diego County, California",6518,22.04,1009,49.19,1184,52382,323500,43.6,23.66,10.79,51.47,0.28,9.94,0.6,3.27,0,7,3,0.3,0.69,1,0,0
6073002601,2016,26.01,"San Diego County, California",6100,36.78,1219,77.33,1053,28891,264900,46,8.77,2.11,70.77,0.15,15.82,0,2.38,0,16,6,0.49,1.31,1,0,0
6073002602,2016,26.02,"San Diego County, California",4256,10.92,894,78.25,1093,42649,325800,32.8,5.62,15.01,59.35,0,19.41,0,0.42,0.19,13,8,0.89,1.45,1,0,0
6073002702,2016,27.02,"San Diego County, California",5750,7.17,1300,68.42,1349,53167,309000,32.9,34.52,22.43,25.27,0.56,14.21,0.5,2.5,0,30,28,2.15,2.31,1,0,0
6073002703,2016,27.03,"San Diego County, California",7219,14.01,1140,54.56,1209,51704,257400,39.2,26.26,12.51,36.82,0,23.26,0,1.15,0,18,14,1.23,1.58,1,0,0
6073002705,2016,27.05,"San Diego County, California",4863,15.43,456,35.55,1510,53333,278500,32.9,11.35,16.7,33.52,0,36.25,0.21,1.97,0,2,1,0.22,0.44,1,0,0
6073002707,2016,27.07,"San Diego County, California",5505,35.32,1365,91.65,928,30915,183900,39.4,1.89,11.43,54.75,0.16,29.63,0.6,1.54,0,22,22,1.61,1.61,1,0,0
6073002708,2016,27.08,"San Diego County, California",6112,40.81,1772,95.67,874,25721,316100,37.6,5.3,20.99,52.86,0.36,18.62,0,1.87,0,22,18,1.02,1.24,1,0,0
6073002709,2016,27.09,"San Diego County, California",3600,42.4,846,80.55,962,27165,241400,45.4,10.5,20.86,54.19,0,11.83,0,2.61,0,16,12,1.42,1.89,1,0,0
6073002710,2016,27.1,"San Diego County, California",4223,32.46,849,77.73,962,36832,299700,33.4,8.34,20.81,41.82,0,27.26,0,1.78,0,18,11,1.3,2.12,1,0,0
6073002711,2016,27.11,"San Diego County, California",3528,10.42,580,64.99,1699,51481,318700,46.8,21.68,18.08,26.13,0,27.78,1.05,5.27,0,2,1,0.17,0.34,1,0,0
6073002712,2016,27.12,"San Diego County, California",4707,6.18,797,48.49,933,47261,216900,41.1,20.57,22.37,39.94,0.13,14.26,0,1.95,0.79,15,7,0.88,1.88,1,0,0
6073002801,2016,28.01,"San Diego County, California",2817,0,758,60.89,1309,37788,615300,50,60.24,2.59,16.9,0.99,15.09,0.35,2.38,1.46,3,2,0.26,0.4,1,0,0
6073002803,2016,28.03,"San Diego County, California",5365,13.61,1785,68.08,1070,43314,377000,32.9,44.75,15.73,22.33,0,13.72,0,3.47,0,30,20,1.12,1.68,1,0,0
6073002804,2016,28.04,"San Diego County, California",5049,7.6,662,35.93,1602,64191,485900,50,65.97,8.67,14.66,0,7.65,0,2.81,0.24,13,11,1.66,1.96,1,0,0
6073002902,2016,29.02,"San Diego County, California",6846,11.74,1268,58.19,1272,55568,393100,41.2,39.76,11.8,35.79,0.12,7.95,0.83,3.75,0,20,13,1.03,1.58,1,0,0
6073002903,2016,29.03,"San Diego County, California",4204,10.98,466,35.69,1560,66797,323100,39.1,34.78,9.21,40.68,0.52,13.18,0,1.64,0,5,3,0.64,1.07,1,0,0
6073002904,2016,29.04,"San Diego County, California",8083,27.69,1812,77.66,1166,32961,417600,50,60.6,3.59,19.03,0,11.53,0,5.26,0,12,12,0.66,0.66,1,0,0
6073002905,2016,29.05,"San Diego County, California",4295,10.01,1083,64.49,1171,51618,381800,30.7,37.74,16.74,28.06,1.37,11.97,0,4.12,0,11,7,0.65,1.02,1,0,0
6073003001,2016,30.01,"San Diego County, California",4428,11.16,389,27.25,1310,60474,308600,33.3,4.63,27.89,60.82,0,5.17,0,1.24,0.25,4,2,0.51,1.03,1,0,0
6073003003,2016,30.03,"San Diego County, California",5045,13.82,479,34.63,1624,60491,336400,45.3,24.62,18.32,46.3,0.38,4.22,0.48,5.69,0,4,4,0.84,0.84,1,0,0
6073003004,2016,30.04,"San Diego County, California",5420,19.68,764,52.59,1052,44844,275800,43.9,5.09,14.8,72.23,0,3.36,0,4.52,0,7,5,0.65,0.92,1,0,0
6073003101,2016,31.01,"San Diego County, California",3735,15.18,267,28.95,1572,53125,269800,34.7,3.67,38.21,52.16,0,3.53,0,2.44,0,9,6,2.25,3.37,1,0,0
6073003103,2016,31.03,"San Diego County, California",6686,14.79,371,26,1340,55234,292600,38.6,7.79,33.86,37.21,0,16.99,0.42,3.72,0,10,4,1.08,2.7,1,0,0
6073003105,2016,31.05,"San Diego County, California",4647,8.58,185,27.07,1402,60156,268600,32.4,5.36,10.61,70.63,0.39,11.28,0,1.74,0,7,2,1.08,3.78,1,0,0
6073003107,2016,31.07,"San Diego County, California",6203,8.26,378,26.2,1705,58194,271700,48.5,14.07,15.14,34.24,0,31.89,0.45,4.21,0,12,10,2.65,3.17,1,0,0
6073003108,2016,31.08,"San Diego County, California",3720,11.93,289,19.8,1298,57083,286600,38.7,26.13,5.75,56.08,0,9.78,1.16,1.1,0,3,1,0.35,1.04,1,0,0
6073003109,2016,31.09,"San Diego County, California",3474,6.32,213,22.14,1675,85573,326000,33.1,6.16,5.15,11.54,0,71.56,0,5.58,0,1,1,0.47,0.47,1,0,0
