GEOID,alegrate,burden,x,y,offprem_p,onprem_p,pfdes,Social,HHComp,RaceEthn,HouseTrans,pop2mi,ccare_rate,fcare_rate,hcare_rate,totcare,reser,Health,quartile,lnmal,cluster,d.cf
6073000100,21,2.2264631,-117.1858941,32.7530053,164,54.902607,1,0.2157,1.7497,0.1163,2.3207,4529.888857,0,0,0,0,0,21.17,Q1,3.091042453,5,7
6073000201,0,1.9272031,-117.1733775,32.7540028,482,97.001663,0.4902881,0.5222,1.4523,0.3318,1.8733,6806.060337,30.651341,0,0,30.651341,0,37.54,Q1,0,5,7
6073000202,0,0.7089136,-117.1751643,32.7453846,313,47.290874,0.4637509,0.3814,0.6937,0.2335,2.0405,8916.151017,3.333333333,0,0,3.333333333,0,31.47,Q1,0,5,7
6073000300,41,3.0863309,-117.1622682,32.7447803,30,92.941673,0.1693131,1.0547,1.5669,0.4028,2.9816,12844.01248,39.408867,0,0,39.408867,0,65.99,Q2,3.737669618,5,7
6073000400,122,1.0596591,-117.1630579,32.7533323,425,73.698555,0.2065752,0.7489,0.6444,0.5203,2.6711,8195.917716,83.33333333,0,0,83.33333333,0,37.64,Q3,4.812184355,5,7
6073000500,16,1.6260163,-117.1521772,32.7606645,452,78.398239,0.7821844,0.8903,0.899,0.4396,1.4111,6207.702277,0,0,0,0,0,37.08,Q1,2.833213344,5,7
6073000600,34,2.3225806,-117.1518924,32.7529964,478,80.952377,0.0078286,1.0302,1.3694,0.3233,3.1566,8053.763469,82.05128205,0,0,82.05128205,0,37.75,Q2,3.555348061,5,7
6073000700,33,1.9847909,-117.1513148,32.7447633,476,69.259453,0.3679504,0.9168,1.3289,0.1833,2.1199,13985.26029,0,0,0,0,0,71.86,Q2,3.526360525,5,7
6073000800,64,1.1730769,-117.1420277,32.7447819,468,61.168224,0.0231828,1.6149,1.6988,0.5948,2.5931,14896.72928,0,0,0,0,0,35.05,Q2,4.17438727,5,7
6073000900,73,0.8199301,-117.141957,32.7518529,30,97.392815,0,1.915,1.5926,0.7426,2.7384,21584.5627,8.602150538,0,0,8.602150538,0,60.68,Q2,4.304065093,5,7
6073001000,53,0.4348534,-117.1417318,32.7603326,540,100,0.3464848,1.1803,0.7604,0.2639,2.3795,15829.0444,10.90909091,0,0,10.90909091,0,25.7,Q2,3.988984047,5,7
6073001100,54,0.5148741,-117.133414,32.7652989,30,100,0.8664815,1.6198,1.136,0.7977,2.4904,9585.644733,3.407155026,0,0,3.407155026,0,32.16,Q2,4.007333185,5,7
6073001200,79,0.7749648,-117.1317978,32.7580745,30,96.431099,0.0103697,1.5197,0.9544,0.9325,2.4102,22256.23013,5.706134094,0,0,5.706134094,0,35.06,Q3,4.382026635,5,7
6073001300,93,0.4303233,-117.1323173,32.7512721,30,100,0.0053632,1.6814,1.2698,1.0536,2.4526,21443.27275,6.396588486,0,0,6.396588486,0,68.45,Q3,4.543294782,5,7
6073001400,34,0.6044226,-117.1330809,32.74474,526,82.879379,0.3251947,0.8775,1.293,0.3606,2.3978,10757.91638,36.5535248,0,0,36.5535248,0,42.8,Q2,3.555348061,5,7
6073001500,26,0.3739377,-117.1233872,32.7437342,30,61.89629,0.6732274,1.697,0.976,0.8836,2.1563,12490.91774,0,0,0,0,0,60.17,Q1,3.295836866,5,7
6073001600,40,0.4243845,-117.1213219,32.7521609,30,95.983009,0.0004446,2.4311,1.2962,1.3916,2.5102,20060.01746,1.908396947,0,0,1.908396947,0,64.58,Q2,3.713572067,5,7
6073001700,55,0.2842243,-117.1207142,32.7582452,539,92.183571,0,2.1181,0.9646,1.0047,2.188,18010.22612,0,0,0,0,0,48.37,Q2,4.025351691,5,7
6073001800,50,0.4070513,-117.1186054,32.7628849,30,100,0.0519839,1.752,1.1909,0.9845,2.2026,20262.20656,10,0,0,10,0,56.02,Q2,3.931825633,5,7
6073001900,23,0.9668246,-117.1196457,32.7696657,205,33.038448,0.5247041,1.0819,1.0225,0.2976,1.5046,4343.230864,12.38390093,0,0,12.38390093,0,38.76,Q1,3.17805383,5,7
6073002001,12,1.9362637,-117.104299,32.7699149,120,20.900417,0.9044195,0.2399,1.9619,0.1171,1.0773,3469.409847,4.098360656,0,0,4.098360656,0,20.1,Q1,2.564949357,5,7
6073002002,28,0.4890511,-117.0929252,32.7645572,385,21.101994,0.3283966,1.0287,1.303,0.1723,0.9095,5249.944026,0,0,0,0,0,17.79,Q2,3.36729583,5,6
6073002100,38,0.8193669,-117.1084678,32.7586957,30,93.002472,0.1116115,2.3546,1.2933,1.0308,2.6526,14264.58951,17.51313485,0,0,17.51313485,0,36.82,Q2,3.663561646,5,7
6073002201,26,0.0457198,-117.1124957,32.7524807,30,97.260277,0,3.6751,1.9391,1.7197,2.6807,26866.19108,0,0,0,0,0,67.03,Q1,3.295836866,5,7
6073002202,61,0.3306878,-117.1051018,32.7523973,30,100,0,3.5244,2.625,1.7046,3.5201,28720.2651,8.144269924,0,8.144269924,16.28853985,0,74.07,Q2,4.127134385,5,6
6073002301,65,0.2599179,-117.0947635,32.7573492,30,100,0,2.9269,2.0425,1.5204,2.9153,18770.65315,0,0,0,0,0,53.98,Q2,4.189654742,5,6
6073002302,49,0.2413623,-117.0963988,32.7525425,30,100,0,3.7347,2.73,1.8306,3.2436,33357.82153,1.863932898,0,0,1.863932898,0,54,Q2,3.912023005,5,6
6073002401,51,0.137457,-117.1151978,32.7470742,497,78.635468,0.1591227,2.5783,1.9105,1.3129,3.4806,19139.12895,8.271298594,0,0,8.271298594,0,64.89,Q2,3.951243719,5,7
6073002402,37,0.177977,-117.1052315,32.7468137,30,91.549294,0.00372,3.1455,2.1165,1.6597,3.5548,26689.50296,1.10619469,0,0,1.10619469,0,71.9,Q2,3.63758616,5,6
6073002501,39,0.2311715,-117.1096419,32.7400405,485,22.819767,0.4616915,3.3604,2.5187,1.5817,2.4758,12098.63989,1.123595506,0,0,1.123595506,0,69.73,Q2,3.688879454,5,6
6073002502,60,0.3614232,-117.1080241,32.7281564,290,12.531928,0.8027462,2.614,1.8589,1.2416,1.8815,8598.893479,3.719776813,0,0,3.719776813,0,70.52,Q2,4.110873864,5,6
6073002601,47,0.2739726,-117.0966252,32.7449119,532,70.234222,0,3.4873,1.9805,1.7048,2.8182,18202.33955,3.399433428,0,0,3.399433428,0,67.12,Q2,3.871201011,5,6
6073002602,57,0.1352531,-117.0972747,32.7357597,353,29.820225,0.5163888,3.1073,2.2724,1.6863,3.1527,14515.70037,1.458789205,0,0,1.458789205,0,82.38,Q2,4.060443011,5,6
6073002702,76,0.5107981,-117.0728017,32.7542098,443,58.88031,0.0021508,2.2864,1.453,0.9188,2.9835,9761.280122,0,0,1.93986421,1.93986421,0,41.27,Q3,4.343805422,5,6
6073002703,107,0.3789538,-117.0658125,32.7451078,392,7.347826,0.5418812,2.4312,1.6827,1.2462,2.8083,9364.020464,2.504696306,0,0,2.504696306,0,47.4,Q3,4.682131227,5,6
6073002705,44,0.4791319,-117.0835759,32.7338692,245,3.0697675,0.511675,2.0985,2.3662,1.4872,1.8687,10083.01776,1.792114695,0,0,1.792114695,0,72,Q2,3.80666249,5,6
6073002707,97,0.141932,-117.0895143,32.7529867,30,94.766251,0,3.4925,2.0658,1.9263,3.2438,38476.35004,2.070393375,0,0,2.070393375,0,50.28,Q3,4.584967479,5,6
6073002708,39,0.2157895,-117.0830585,32.7531727,528,74.406754,0.0240362,3.5162,2.7733,1.7571,2.8468,25117.50479,1.746724891,0,0,1.746724891,0,40.55,Q2,3.688879454,5,6
6073002709,90,0.1310976,-117.0896386,32.7439931,504,28.948036,0.0822599,3.5936,2.4382,1.5842,2.6618,14388.80555,11.49425287,0,0,11.49425287,0,60.44,Q3,4.510859507,5,6
6073002710,61,0.2710843,-117.0844892,32.7439483,398,24.550615,0.1418579,2.6529,1.9912,1.6301,3.0532,15561.59277,1.669449082,0,0,1.669449082,0,78.5,Q2,4.127134385,5,6
6073002711,0,0.2491197,-117.0715691,32.7392175,202,0,1,2.8563,1.7906,1.2659,1.8349,6778.551095,1.420454545,0,0,1.420454545,0,61.92,Q1,0,5,6
6073002712,0,0.4430479,-117.0732171,32.7297628,354,44.174549,0.2769832,2.794,2.9948,1.2717,3.1435,5758.282683,0,0,0,0,0,45.89,Q1,0,5,6
6073002801,30,1.7142857,-117.0837903,32.7755353,388,42.144718,1,1.7711,0.7573,0.3068,2.9862,2533.741732,35.0877193,0,0,35.0877193,0,16.47,Q2,3.433987204,5,6
6073002803,41,0.7714592,-117.0835961,32.7638379,314,46.03352,0.6287915,1.8767,1.6745,1.0982,2.568,12474.04316,0,0,0,0,0,60.6,Q2,3.737669618,5,6
6073002804,14,0.5468053,-117.0739019,32.7647357,254,60.435532,0.562187,2.3129,0.6761,0.6589,2.1441,8545.587496,7.01754386,0,0,7.01754386,0,37.02,Q1,2.708050201,5,6
6073002902,43,0.3751515,-117.058923,32.7604105,415,54.628223,0.0009162,2.1809,2.2539,0.8933,2.9329,10235.63741,6.821282401,0,0,6.821282401,0,29.24,Q2,3.784189634,5,6
6073002903,62,0.4571429,-117.0553352,32.7498573,372,21.119183,0.2887801,2.3061,2.3275,1.1266,2.3416,7795.058562,10.95890411,0,0,10.95890411,0,49.16,Q2,4.143134726,5,6
6073002904,50,1.1087719,-117.0626516,32.7715642,407,59.868782,0.0294468,2.3711,0.529,0.448,3.4682,11396.18628,24.63054187,0,0,24.63054187,0,30.95,Q2,3.931825633,5,6
6073002905,76,0.4431555,-117.0496451,32.7711381,456,81.849823,0.5384244,3.0154,1.744,1.1301,3.0183,9862.782151,4.305705059,2.15285253,0,6.458557589,0,30.23,Q3,4.343805422,5,6
6073003001,68,0.4589523,-117.0753816,32.7174916,138,2.0586843,0.606666,2.9521,2.621,1.5339,2.0987,4395.009034,7.04845815,0,0,7.04845815,0,73.1,Q2,4.234106505,2,2
6073003003,99,0.4296695,-117.0575534,32.7250639,465,0,0.9746922,2.8132,2.4621,1.0928,1.5404,4428.294696,0,0,0,0,0,69.54,Q3,4.605170186,2,2
6073003004,53,0.2032258,-117.0607339,32.7130823,401,25.4251,0.8318809,3.3381,2.2925,1.6736,3.3946,11087.4186,1.138303927,0,0,1.138303927,0,72.32,Q2,3.988984047,2,2
