geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
6073000100,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,541,High,Low,Very High,High,65,30,87,78
6073000201,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,219,High,Moderate,Very High,Very High,68,47,100,90
6073000202,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,467,High,Moderate,High,High,64,46,79,72
6073000300,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,191,High,Very Low,High,Moderate,64,16,65,60
6073000400,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,116,High,Moderate,Moderate,Moderate,63,44,52,56
6073000500,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,184,High,Low,High,High,61,39,66,62
6073000600,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,158,High,Low,High,High,65,29,75,68
6073000700,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,203,High,Very Low,Very High,High,65,14,85,74
6073000800,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,298,High,Very Low,Low,Moderate,62,3,38,41
6073000900,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,441,Moderate,Very Low,Low,Low,52,5,23,24
6073001000,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,615,Moderate,Very Low,Low,Low,49,18,27,32
6073001100,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,597,Moderate,Very Low,Low,Low,54,4,38,39
6073001200,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,781,Moderate,Very Low,Very Low,Very Low,48,16,12,18
6073001300,2010,1,41740,"San Diego-Carlsbad, CA Metro Area",6073,6,CA,1157,Moderate,Very Low,Low,Low,51,10,22,24
